my_name, my_city, my_country, my_email, my_phone, my_sex, my_enum, my_number, my_boolean
반정우,Nairobi,SX,pinkcloud655@icloud.com,NULL,Female,my enum1,79,0
복준호,Seoul,AF,isabella369@sina.com.cn,010-4347-5540,Male,yyooo I'm EEENum,76,0
황수빈,Auckland,LI,sophia@openmailbox.org,010-1865-9037,Female,my enum1,51,1
NULL,Washington D.C.,NF,NULL,010-2720-1119,Male,NULL,73,0
NULL,Buenos Aires,AO,NULL,010-8862-4383,Female,my enum1,78,0
육유선,Budapest,BA,paul775@apple.com,010-3026-9092,Female,my enum1,61,0
탁윤수,Abidjan,GI,NULL,010-1067-3280,Male,NULL,50,1
설민호,Buenos Aires,BD,NULL,NULL,Female,my enum2,53,0
NULL,Amsterdam,TL,amelia311@seznam.cz,010-2633-7851,Male,NULL,50,0
권윤수,Washington D.C.,GT,whitedove600@mail.ru,010-2714-2827,Female,NULL,74,1
장아린,Algiers,AE,starrysky791@co.uk,010-9940-1355,Female,my enum2,62,1
마수현,Brisbane,MG,NULL,NULL,Male,NULL,50,0
정지우,Quito,LT,NULL,010-3810-2057,Male,NULL,52,0
NULL,Paris,TO,steve898@icloud.com,010-9589-3899,Male,NULL,57,0
NULL,Bogotá,GY,blackcat402@co.uk,NULL,Male,NULL,79,0
허가희,Nairobi,LU,david@gov.uk,010-7923-1638,Female,NULL,73,1
탁다현,Toronto,QA,mia@zoho.com,010-7558-2585,Male,NULL,77,1
신소민,Kuala Lumpur,BE,NULL,NULL,Male,my enum2,67,1
오정민,Rome,GD,NULL,010-5479-2495,Male,my enum2,57,1
가하린,Miami,GT,NULL,NULL,Female,my enum2,80,1
김태민,Wellington,PF,lucky7@gov.uk,010-4297-1793,Female,NULL,72,1
양정우,Berlin,SO,nextgen8@gmail.com,010-2207-4248,Male,my enum2,79,0
변현서,Tokyo,PK,yellowbird@seznam.cz,010-1736-5263,Female,yo ma enumm,78,0
탁지후,Johannesburg,TC,NULL,010-4365-2987,Male,yyooo I'm EEENum,63,1
제도영,Barcelona,ZM,paul756@it.com,010-7741-9146,Female,NULL,69,1
강수정,Johannesburg,BL,sunshine775@orange.fr,010-1238-9467,Female,NULL,62,0
NULL,New York,AD,emma@fastmail.com,010-4514-1638,Female,NULL,56,0
고하늘,New Delhi,IN,blackcat@stanford.edu,010-4836-7466,Female,yyooo I'm EEENum,69,1
조가온,Miami,TT,purplefish587@facebook.com,010-5806-6315,Male,NULL,75,1
NULL,Hong Kong,JM,foodie343@pm.me,010-1027-5322,Male,NULL,52,1
