my-name, my-city, my-country, my-email, my-phone, my-sex, my-enum, my-number, my-boolean
소서우,Jakarta,BE,chris406@apple.com,010-8858-1393,Female,NULL,57,false
팽민호,São Paulo,GQ,whitedove@gov.au,NULL,Male,zzfQQ,60,false
변가람,Lima,BO,robert171@protonmail.com,NULL,Male,my enum1,51,true
유유선,Algiers,SE,foodie@europa.eu,010-9820-7275,Female,my enum2,63,true
복시현,Miami,PK,NULL,010-4510-7987,Male,my enum2,68,true
계준수,New Delhi,CR,amelia795@co.in,NULL,Male,NULL,73,false
부영수,Vancouver,ME,emma@mail.ru,010-9309-3463,Female,NULL,54,false
성채영,Los Angeles,KI,pinkcloud232@co.kr,010-9374-4910,Male,NULL,66,true
공채온,Prague,KW,goldenlion@co.kr,010-6398-8307,Male,zzfQQ,80,false
송수지,San Francisco,GS,olivia@co.in,010-7360-7001,Male,NULL,63,true
