my-name, my-city, my-country, my-email, my-phone, my-sex, my-enum, my-number, my-boolean
계예빈,Bangkok,KW,happyday365678@microsoft.com,010-5673-3036,female,NULL,62,false
반서윤,Auckland,GN,chris458@co.jp,010-5149-1840,female,my enum1,80,true
남시우,Seoul,PT,paul218@com.br,010-4984-4271,female,my enum2,69,true
맹하은,Lima,FR,rockstar408@seznam.cz,010-3447-4173,male,NULL,73,true
천진욱,Casablanca,HK,NULL,010-7973-6866,female,my enum2,56,true
천채온,Casablanca,ET,supernova99718@code.com,010-9644-7187,female,3333,56,true
양진호,Abidjan,TM,coolguy@163.com,010-3664-9067,male,NULL,55,true
사공희수,Auckland,BZ,sunshine@amazon.com,NULL,male,NULL,79,true
NULL,Accra,IO,alex90@mail.ru,010-1840-2130,male,my enum1,64,true
탁하나,Madrid,AS,NULL,010-9155-9751,male,NULL,63,false
